merchant_id,transaction_count,last_transaction_date,churn_status
ERLWKVLM,6,10/27/2024,Active
SE968O0B,1,8/11/2024,Churn Risk
RFHKHUXA,1,8/12/2024,Churn Risk
PNPCO86C,1,1/25/2025,Churn Risk
WIJZMXJB,1,10/12/2024,Churn Risk
AVOIIT5I,1,6/19/2024,Churn Risk
I6OON2H2,1,1/10/2025,Churn Risk
6VP2B1H4,1,10/10/2024,Churn Risk
2CHWZN5D,1,9/23/2024,Churn Risk
1DG1BOB1,1,11/6/2024,Churn Risk
E7VCU6JX,1,1/11/2025,Churn Risk
7GOUTPH9,1,11/6/2024,Churn Risk
9YAPI1HH,1,2/15/2025,Churn Risk
BLZQ49A7,1,7/19/2024,Churn Risk
9Z1V9OJ8,1,2/14/2025,Churn Risk
BO05CXHC,1,2/6/2025,Churn Risk
HP0QNT0I,1,12/21/2024,Churn Risk
1MB4FG82,1,1/30/2025,Churn Risk
UUW26W4E,1,5/21/2024,Churn Risk
H3BEXLB8,1,1/20/2025,Churn Risk
06OLVXNE,1,2/13/2025,Churn Risk
ZFHRE8AV,1,2/20/2025,Churn Risk
FGNMP8M5,1,2/18/2025,Churn Risk
K1XVNSTT,1,12/19/2024,Churn Risk
7DJ23TIK,1,9/14/2024,Churn Risk
KCQ6L9VL,1,11/11/2024,Churn Risk
8YZA0SEQ,125,2/20/2025,Active
UUBT9WXJ,1,10/23/2024,Churn Risk
H53FA837,1,8/26/2024,Churn Risk
5IK1OR31,1,10/4/2024,Churn Risk
B7WL86Y3,1,12/19/2024,Churn Risk
HRGMT00C,1,1/31/2025,Churn Risk
C6EBCLX2,1,11/6/2024,Churn Risk
DBKYNX84,15,2/20/2025,Active
GWTI6C59,1,2/11/2025,Churn Risk
1IX3G4Z7,1,12/31/2024,Churn Risk
Q6S236OV,1,1/29/2025,Churn Risk
RKRS1I4H,1,11/26/2024,Churn Risk
E6UHZQQU,1,7/1/2024,Churn Risk
BZLOXKCH,1,12/28/2024,Churn Risk
T4S6D635,1,12/31/2024,Churn Risk
ULTSLDTH,1,7/6/2024,Churn Risk
OHA6M17M,1,2/4/2025,Churn Risk
W70JYPFO,1,12/28/2024,Churn Risk
ANUUKNSH,1,2/7/2025,Churn Risk
M3M72LIC,1,12/17/2024,Churn Risk
I9XRXB9A,1,12/9/2024,Churn Risk
TPVIWMNG,1,9/13/2024,Churn Risk
94ZZTJ7W,1,1/21/2025,Churn Risk
748HTNBR,1,10/24/2024,Churn Risk
112GG0ZH,1,9/8/2024,Churn Risk
ZIIYD95D,1,11/22/2024,Churn Risk
X0V2BL2Y,1,5/19/2024,Churn Risk
VO6BP1ZY,1,6/3/2024,Churn Risk
6BQS1VUK,1,1/8/2025,Churn Risk
EAG6EXN8,1,10/24/2024,Churn Risk
WGFCXVXR,1,11/14/2024,Churn Risk
4OGKD2JI,1,12/14/2024,Churn Risk
XVOH9CIG,1,12/18/2024,Churn Risk
G6PZL7FM,1,1/13/2025,Churn Risk
Q9L7P8T3,1,4/25/2024,Churn Risk
FL4UY84N,1,2/10/2025,Churn Risk
78N40O5H,1,11/29/2024,Churn Risk
